call_id,caller_number,callee_number,datetime,duration_sec,call_type,tower_city
CL00001,+918830831254,+917488120041,2022-02-21 09:24:55,1265,Telegram,Hyderabad
CL00002,+917637088959,+919391179068,2023-08-15 23:20:12,1567,WhatsApp,Jaipur
CL00003,+919472866768,+918097447932,2023-05-26 09:31:01,189,Telegram,Lucknow
CL00004,+917877990647,+917366637148,2022-08-09 18:22:03,108,Signal,Jaipur
CL00005,+918243165953,+918341957809,2023-07-04 00:54:06,887,WhatsApp,Chennai
CL00006,+919823273703,+917225953184,2023-01-10 01:25:03,1172,WhatsApp,Kolkata
CL00007,+919529182928,+918341957809,2022-03-17 12:32:28,1570,Signal,Indore
CL00008,+919641863774,+918967277638,2022-04-10 12:23:50,699,Signal,Nagpur
CL00009,+918830831254,+919367966782,2023-09-09 16:25:32,87,Voice,Delhi
CL00010,+918724932977,+919825363606,2024-04-03 15:33:29,310,WhatsApp,Kolkata
CL00011,+919670283403,+918181184718,2023-02-07 19:47:53,617,Signal,Lucknow
CL00012,+917334417350,+919654827789,2023-05-17 22:36:19,977,Voice,Kolkata
CL00013,+917112759345,+919549776132,2023-03-03 18:19:50,1490,Voice,Ahmedabad
CL00014,+917033199694,+918415818695,2023-11-03 18:36:14,1482,Voice,Ahmedabad
CL00015,+918849649210,+919355172948,2023-06-21 20:46:39,1591,Telegram,Bangalore
CL00016,+917414741061,+917889734128,2023-08-10 22:07:12,43,Telegram,Kolkata
CL00017,+919607371597,+918905085701,2023-02-27 22:13:26,1032,Telegram,Indore
CL00018,+918076551580,+918724932977,2023-06-16 06:35:20,1361,Telegram,Lucknow
CL00019,+917394096254,+918843023757,2022-06-27 14:58:34,706,Signal,Bhopal
CL00020,+918415818695,+918632978535,2022-07-16 07:17:35,616,WhatsApp,Chennai
CL00021,+918341957809,+917981372436,2023-12-08 22:31:20,987,Signal,Lucknow
CL00022,+918816499958,+918341957809,2022-05-05 18:43:34,782,Telegram,Indore
CL00023,+918327079104,+919946766309,2022-10-25 01:18:45,166,Signal,Jaipur
CL00024,+919518848328,+918849649210,2022-08-08 06:52:34,560,Signal,Bangalore
CL00025,+919204340231,+917366637148,2022-09-06 01:42:57,1092,WhatsApp,Bhopal
CL00026,+919036965074,+917621430136,2022-04-13 13:21:45,972,Voice,Bhopal
CL00027,+918724932977,+919746601166,2023-07-18 05:26:41,979,Telegram,Bhopal
