txn_id,sender_account,sender_person_id,receiver_account,receiver_person_id,amount_inr,datetime,bank_sender,bank_receiver,txn_type,description,flagged_suspicious
TXN000001,ACC10709540,P0089,ACC20694051,P0001,23249.52,2023-08-14 05:52:41,HDFC,Axis,RTGS,Goods Purchase,No
TXN000002,ACC22881862,P0043,ACC84300929,P0046,37906.36,2022-10-11 03:36:00,Axis,HDFC,Wire,Business Payment,No
TXN000003,ACC43591464,P0022,ACC23438230,P0062,375941.39,2022-11-29 13:24:42,Kotak,Union Bank,Wire,Personal Transfer,No
TXN000004,ACC86630175,P0038,ACC49890367,P0070,1493455.33,2023-05-16 08:27:03,Kotak,SBI,UPI,Investment,No
TXN000005,ACC46245645,P0014,ACC34847621,P0083,99687.42,2022-10-14 05:27:49,SBI,Union Bank,Cash Deposit,Business Payment,Yes
TXN000006,ACC21007045,P0082,ACC54799885,P0064,1795771.71,2023-02-04 08:10:30,Axis,Union Bank,RTGS,Business Payment,No
TXN000007,ACC32732400,P0087,ACC83291553,P0070,1484.93,2022-10-02 23:23:33,Kotak,HDFC,IMPS,Service Fee,Yes
TXN000008,ACC81264557,P0056,ACC15467685,P0073,448163.88,2022-09-16 07:48:42,ICICI,Union Bank,Cash Deposit,Business Payment,No
TXN000009,ACC49234073,P0005,ACC53990376,P0060,1011944.38,2022-07-18 05:06:46,Kotak,Canara,IMPS,Goods Purchase,No
TXN000010,ACC70788473,P0037,ACC64176956,P0072,1035331.26,2023-04-29 19:12:56,Axis,PNB,NEFT,Service Fee,No
TXN000011,ACC34510701,P0065,ACC94669760,P0085,3915.17,2023-12-08 02:06:36,ICICI,Axis,UPI,Service Fee,No
TXN000012,ACC86630175,P0038,ACC23941705,P0085,1521441.13,2024-01-06 04:14:47,Axis,Axis,IMPS,Business Payment,No
TXN000013,ACC26072981,P0047,ACC12777085,P0003,1464528.84,2022-08-03 02:21:59,Axis,HDFC,NEFT,Service Fee,No
TXN000014,ACC87622366,P0097,ACC89575745,P0045,698.77,2024-05-12 15:52:13,Canara,PNB,NEFT,Business Payment,Yes
TXN000015,ACC21438741,P0042,ACC15226275,P0051,36337.06,2022-01-28 23:06:40,SBI,Kotak,RTGS,Personal Transfer,No
TXN000016,ACC22881862,P0043,ACC95768162,P0011,698942.25,2022-03-04 21:28:14,ICICI,SBI,NEFT,Goods Purchase,No
