person_id,full_name,alias,dob,gender,nationality,occupation,city,state,national_id,risk_score,known_associate_count,flagged
P0001,Rohit Verma,R. Verma,1972-05-03,M,Indian,Shopkeeper,Bangalore,Maharashtra,XXXX-XXXX-9935,0.087,13,Yes
P0002,Arjun Singh,A. Singh,1982-09-01,F,Indian,Businessman,Lucknow,Telangana,XXXX-XXXX-9928,0.42,14,No
P0003,Rajesh Kumar,,1967-02-28,F,Indian,Government Employee,Chennai,Karnataka,XXXX-XXXX-4527,0.957,10,Yes
P0004,Rahul Chauhan,R. Chauhan,1998-01-06,M,Indian,Farmer,Chennai,Delhi,XXXX-XXXX-8527,0.536,12,Yes
P0005,Geeta Nair,,1987-09-29,M,Indian,Farmer,Hyderabad,Maharashtra,XXXX-XXXX-1750,0.661,9,Yes
P0006,Anita Verma,Sanjay Verma,1988-07-07,M,Indian,Driver,Kolkata,West Bengal,XXXX-XXXX-4432,0.67,2,No
P0007,Rohit Patel,,1970-12-24,M,Indian,Unemployed,Pune,Tamil Nadu,XXXX-XXXX-4598,0.685,1,Yes
P0008,Priya Iyer,Rahul Iyer,1969-06-18,F,Indian,Government Employee,Hyderabad,UP,XXXX-XXXX-7482,0.885,14,Yes
P0009,Rajesh Gupta,R. Gupta,1985-03-07,F,Indian,Student,Surat,Gujarat,XXXX-XXXX-8019,0.898,12,No
P0010,Anita Gupta,,1964-01-29,M,Indian,Accountant,Bangalore,Karnataka,XXXX-XXXX-7916,0.596,12,No
P0011,Lata Tiwari,,1984-10-25,M,Indian,Accountant,Bhopal,MP,XXXX-XXXX-5371,0.769,10,Yes
P0012,Kavita Mishra,K. Mishra,1960-02-23,M,Indian,Trader,Nagpur,Karnataka,XXXX-XXXX-9317,0.913,9,No
P0013,Lata Joshi,L. Joshi,1994-03-15,M,Indian,Trader,Nagpur,MP,XXXX-XXXX-1009,0.599,15,Yes
P0014,Sunita Reddy,,1997-04-22,M,Indian,Shopkeeper,Delhi,Telangana,XXXX-XXXX-2290,0.086,15,Yes
P0015,Nikhil Gupta,N. Gupta,1981-04-27,F,Indian,Driver,Chennai,MP,XXXX-XXXX-7932,0.964,6,No
P0016,Amit Reddy,Anil Reddy,1980-04-02,M,Indian,Shopkeeper,Hyderabad,Maharashtra,XXXX-XXXX-6539,0.021,7,No
P0017,Anita Kumar,A. Kumar,1988-04-22,M,Indian,Shopkeeper,Mumbai,Delhi,XXXX-XXXX-6413,0.071,7,No
P0018,Smita Shah,S. Shah,1965-12-07,F,Indian,Farmer,Jaipur,Telangana,XXXX-XXXX-8749,0.807,6,Yes
P0019,Sunita Mishra,Nisha Mishra,1980-12-12,M,Indian,Accountant,Delhi,Rajasthan,XXXX-XXXX-6559,0.801,3,Yes
P0020,Deepak Joshi,,1966-04-15,F,Indian,Driver,Chennai,UP,XXXX-XXXX-5092,0.874,2,No
P0021,Geeta Verma,G. Verma,1984-03-31,M,Indian,Accountant,Nagpur,Telangana,XXXX-XXXX-3724,0.406,15,Yes
